"temperature_range","extreme_weather_events","event_count"
"Cold (10-15°C)","Flood","81"
"Cold (10-15°C)","Drought","76"
"Cold (10-15°C)","Heatwave","75"
"Cold (10-15°C)","Hurricane","67"
"Hot (>25°C)","Drought","286"
"Hot (>25°C)","Heatwave","268"
"Hot (>25°C)","Hurricane","258"
"Hot (>25°C)","Flood","245"
"Moderate (15-20°C)","Hurricane","81"
"Moderate (15-20°C)","Flood","66"
"Moderate (15-20°C)","Drought","63"
"Moderate (15-20°C)","Heatwave","61"
"Very Cold (<10°C)","Heatwave","301"
"Very Cold (<10°C)","Hurricane","289"
"Very Cold (<10°C)","Flood","263"
"Very Cold (<10°C)","Drought","260"
"Warm (20-25°C)","Flood","84"
"Warm (20-25°C)","Hurricane","74"
"Warm (20-25°C)","Heatwave","66"
"Warm (20-25°C)","Drought","59"
