"country","city","extreme_weather_events","event_type","average_temperature","total_population_exposure","total_economic_impact","average_vulnerability"
"South Africa","Durban","Flood","1","30.6","772529","98765751.15","5"
"Brazil","Brasilia ","Drought","1","26.9","4164128","96514968.05","4"
"Canada","Toronto","Drought","1","-9.5","1310863","95231429.51","5"
"USA","New York","Drought","1","14.5","8499163","93366392.55","5"
"USA","Los Angeles","Flood","1","-6.5","1335844","91454336.88","8"
"South Africa","Johannesburg","Drought","1","35.5","5610204","90575436.02","10"
"USA","New York","Flood","1","27.3","9011115","85925007.67","7"
"Germany","Hamburg","Heatwave","1","34.9","8625068","72538730.19","3"
"South Africa","Cape Town","Heatwave","1","38.6","9225533","70238861.05","3"
"India","Delhi","Flood","1","7.9","1297995","68218445.17","6"
"USA","New York","Hurricane","1","-7.7","6883355","67123848.04","10"
"Germany","Berlin","Hurricane","1","24.7","7910619","65892689.57","10"
"Canada","Toronto","Heatwave","1","17.5","2414228","58917417.90","1"
"Canada","Montreal","Hurricane","1","39.2","1910078","47481103.06","8"
"India","Mumbai","Heatwave","1","27.0","4723866","36593764.94","1"
"USA","New York","Heatwave","1","35.8","6315063","33073167.48","6"
"Germany","Munich","Hurricane","1","29.6","6513387","26753340.75","3"
"Australia","Melbourne","Flood","1","33.9","417575","8159365.56","1"
