"record_id","date","country","city","temperature_c","humidity_percent","precipitation_mm","air_quality_index","extreme_weather_events","climate_classification","climate_zone","biome_type","heat_index","wind_speed","wind_direction","season","population_exposure","economic_impact_estimate","infrastructure_vulnerability_score"
"aus_1","2024-01-01","Australia","Sydney","20.30","41.00","127.10",207,"None","Koeppen-B","Arid","Wetland","22.40","18.30","W","Winter",8549476,"34039796.05","9.00"
"aus_10","2024-01-10","Australia","Sydney","17.90","68.00","155.50",84,"None","Koeppen-B","Arid","Tundra","21.30","29.60","SE","Winter",8166878,"50620627.04","10.00"
"aus_100","2024-04-09","Australia","Sydney","18.40","71.00","177.10",185,"None","Koeppen-B","Arid","Desert","21.90","12.20","SW","Spring",8791432,"26001877.25","3.00"
"aus_1000","2024-09-25","Australia","Melbourne","6.90","91.00","94.60",379,"None","Koeppen-C","Arid","Forest","11.40","37.00","N","Autumn",4801833,"20135263.48","5.00"
"aus_1001","2024-09-26","Australia","Melbourne","29.30","14.00","12.70",108,"None","Koeppen-A","Arid","Tundra","30.00","27.60","SW","Autumn",8449745,"34885208.80","5.00"
"aus_1002","2024-09-27","Australia","Melbourne","6.40","68.00","91.10",232,"None","Koeppen-C","Arid","Desert","9.80","14.90","E","Autumn",1341239,"51242929.55","5.00"
"aus_1003","2024-09-28","Australia","Melbourne","28.60","43.00","132.90",165,"None","Koeppen-D","Arid","Wetland","30.80","19.50","E","Autumn",5647240,"71203321.02","5.00"
"aus_1004","2024-09-29","Australia","Melbourne","34.60","97.00","59.30",163,"Flood","Koeppen-B","Arid","Forest","39.50","12.70","S","Autumn",3530242,"52893992.96","8.00"
"aus_1005","2024-09-30","Australia","Melbourne","38.90","31.00","174.40",321,"None","Koeppen-A","Arid","Grassland","40.40","35.60","E","Autumn",1308827,"25435259.88","6.00"
"aus_1006","2024-10-01","Australia","Melbourne","-2.00","84.00","57.90",498,"None","Koeppen-C","Arid","Desert","2.20","13.00","NW","Autumn",6966190,"65470527.22","3.00"
"aus_1007","2024-10-02","Australia","Melbourne","7.10","43.00","162.20",371,"None","Koeppen-B","Arid","Desert","9.20","19.70","W","Autumn",3799018,"17759219.22","1.00"
"aus_1008","2024-10-03","Australia","Melbourne","16.40","56.00","156.70",164,"None","Koeppen-A","Arid","Forest","19.20","38.30","NW","Autumn",4049952,"93674460.42","7.00"
"aus_1009","2024-10-04","Australia","Melbourne","17.70","21.00","95.50",412,"None","Koeppen-D","Arid","Desert","18.80","7.20","E","Autumn",514025,"73186780.89","6.00"
